turns,max_tiles,min_tiles,piece_distributions
197,7,-4,"{0: 629, 2: 289, -2: 151, -4: 38, 4: 219, 8: 137, 16: 127, 32: 81, 64: 76, 128: 26}"
47,5,-2,"{0: 145, 2: 103, 4: 58, 8: 48, -2: 15, -4: 10, 16: 26, 32: 18}"
198,7,2,"{0: 602, -2: 131, 4: 195, 2: 276, -4: 16, 8: 171, 16: 150, 32: 114, 64: 74, 128: 53}"
181,7,-2,"{0: 544, -2: 105, -4: 21, 2: 279, 4: 237, 8: 142, 16: 108, 32: 83, 64: 47, 128: 63}"
160,6,4,"{0: 522, 4: 156, 2: 207, -2: 102, 8: 162, 16: 134, -4: 11, 32: 87, 64: 59}"
74,5,-2,"{0: 256, -2: 53, 2: 110, -4: 4, 4: 78, 8: 78, 16: 52, 32: 35}"
52,5,-2,"{2: 67, 0: 220, 4: 68, -2: 24, 8: 40, 16: 32, 32: 17}"
101,6,2,"{0: 348, 2: 161, 4: 112, 8: 71, -2: 54, 16: 84, 32: 37, -4: 5, 64: 37}"
185,7,-2,"{0: 621, -2: 133, 4: 183, 2: 254, -4: 14, 8: 128, 16: 130, 32: 113, 64: 59, 128: 30}"
131,6,2,"{0: 461, 4: 143, -2: 98, -4: 47, 8: 83, 2: 181, -8: 1, 16: 82, 32: 40, 64: 43}"
138,6,-2,"{2: 187, 0: 495, 4: 146, 8: 78, -2: 111, 16: 104, 32: 72, -4: 14, 64: 35}"
170,6,2,"{0: 572, -2: 143, 2: 211, 4: 202, 8: 128, -4: 28, 16: 98, 32: 54, 64: 94}"
166,7,-4,"{0: 522, -2: 106, 4: 167, 2: 249, -4: 15, 8: 167, 16: 121, 32: 70, 64: 51, 128: 26}"
73,5,-2,"{0: 254, 2: 112, -2: 51, 4: 82, 8: 67, 16: 49, -4: 12, 32: 30}"
58,5,2,"{2: 109, 0: 198, -2: 32, 4: 76, 8: 47, 16: 45, -4: 1, 32: 14}"
131,6,-4,"{2: 187, 0: 452, 4: 132, 8: 129, -2: 87, 16: 52, -4: 17, 32: 63, 64: 60}"
150,6,2,"{2: 246, 0: 451, 4: 165, -2: 91, 8: 141, -4: 8, 16: 104, 32: 70, 64: 73, -8: 1}"
124,6,-2,"{0: 467, 2: 163, 4: 144, -2: 114, -4: 14, 8: 77, 16: 46, 32: 45, 64: 46}"
91,5,-2,"{2: 146, 0: 301, 4: 85, 8: 66, -2: 74, -4: 39, 16: 56, 32: 51, -8: 1}"
142,6,-4,"{2: 217, 0: 460, 4: 127, -2: 103, 8: 94, 16: 109, -4: 22, 32: 77, 64: 69}"
