turns,max_tiles,min_tiles,piece_distributions
24,3,-1,"{0: 100, 1: 35, 2: 20, -1: 31, 3: 37, -2: 2}"
137,6,-1,"{-1: 123, 1: 243, 0: 372, 2: 172, 3: 148, -2: 36, 4: 63, 5: 49, 6: 36}"
25,4,-1,"{0: 69, 1: 58, 2: 59, 3: 20, -1: 10, 4: 18}"
27,4,-1,"{0: 98, 1: 58, 2: 39, -1: 16, 3: 26, 4: 15}"
51,5,-1,"{-1: 34, 0: 185, 1: 105, 2: 70, 3: 31, 4: 14, 5: 24, -2: 5}"
54,5,1,"{1: 138, 0: 128, 2: 82, 3: 53, -1: 24, 4: 60, 5: 10}"
98,6,-1,"{0: 189, 1: 163, -1: 134, 2: 154, 3: 88, 4: 49, -2: 56, 5: 26, 6: 32}"
68,5,-1,"{0: 213, 1: 136, -1: 53, 2: 115, -2: 10, 3: 28, 4: 39, 5: 27}"
81,5,1,"{0: 211, 1: 129, 2: 119, -1: 97, -2: 20, 3: 50, 4: 98, 5: 14}"
59,5,-1,"{0: 182, -1: 43, 1: 109, -2: 24, 2: 80, 3: 63, 4: 29, 5: 10}"
94,6,1,"{0: 225, 1: 139, 2: 160, -1: 100, 3: 96, 4: 52, -2: 19, 5: 38, 6: 26}"
84,5,-1,"{0: 254, 1: 180, -1: 59, 2: 79, 3: 77, 4: 59, -2: 9, -3: 8, 5: 40}"
86,5,-1,"{1: 151, 0: 203, 2: 105, -1: 85, 3: 108, 4: 43, -2: 37, 5: 41, -3: 10}"
108,6,-1,"{0: 227, 1: 211, 2: 154, -1: 98, 3: 118, 4: 101, -2: 11, 5: 44, 6: 17}"
135,6,-1,"{0: 374, 1: 209, -1: 165, 2: 136, -2: 42, 3: 83, 4: 86, 5: 57, -3: 42, 6: 30}"
43,5,-2,"{1: 77, 0: 111, 2: 90, 3: 31, -1: 34, 4: 30, -2: 13, 5: 10}"
87,6,-1,"{-1: 90, 0: 211, 1: 186, 2: 101, -2: 28, 3: 94, 4: 39, 5: 19, 6: 24}"
63,5,1,"{0: 183, 2: 92, 1: 157, -1: 29, -2: 14, 3: 59, 4: 23, 5: 19}"
46,5,-2,"{0: 102, -1: 37, 1: 105, 2: 62, 3: 77, -2: 19, 4: 5, 5: 16}"
64,5,-1,"{0: 128, 1: 137, 2: 88, 3: 74, -1: 50, -2: 17, 4: 60, 5: 31}"
