turns,max_tiles,min_tiles,piece_distributions
65,5,-2,"{2: 1, 8: 3, 4: 2, 16: 1, 32: 1, -2: 1}"
23,4,-2,"{-2: 1, 4: 2, 2: 3, 8: 2, 16: 1}"
88,6,2,"{8: 3, 64: 1, 4: 2, 16: 1, 2: 2}"
58,5,2,"{4: 3, 2: 3, 32: 1, 8: 2}"
75,6,2,"{2: 2, 8: 2, 4: 3, 64: 1, 16: 1}"
51,4,-8,"{2: 3, 8: 1, 16: 2, -4: 1, -8: 1, 4: 1}"
106,6,-4,"{8: 2, 64: 1, -2: 1, -4: 2, 16: 1, 2: 2}"
100,5,-4,"{32: 1, -4: 1, 2: 2, 8: 2, 16: 1, 4: 2}"
69,5,-4,"{2: 2, -4: 1, -2: 2, 16: 2, 32: 1, 4: 1}"
99,5,-4,"{2: 2, 8: 2, 4: 2, 32: 1, 16: 1, -4: 1}"
38,4,2,"{2: 4, 8: 3, 16: 1, 4: 1}"
70,5,-2,"{2: 3, 32: 2, 16: 1, 4: 1, -2: 1, 8: 1}"
112,6,2,"{2: 3, 4: 2, 8: 2, 16: 1, 64: 1}"
54,5,-2,"{4: 4, 16: 1, -2: 1, 32: 1, 8: 1, 2: 1}"
66,5,-4,"{-2: 2, 8: 2, -4: 1, 4: 1, 32: 1, 16: 1, 2: 1}"
49,5,-2,"{2: 1, 8: 3, -2: 2, 32: 1, 16: 1, 4: 1}"
60,4,-2,"{16: 2, 4: 2, 2: 2, 8: 2, -2: 1}"
88,5,-2,"{2: 2, 4: 3, 16: 1, 8: 1, 32: 1, -2: 1}"
110,5,2,"{4: 2, 16: 1, 2: 3, 8: 2, 32: 1}"
92,5,-4,"{8: 1, 32: 1, 2: 3, 4: 1, -2: 1, -4: 1, 16: 1}"
75,5,-2,"{4: 3, 2: 1, 16: 2, 32: 1, -2: 2}"
47,4,2,"{8: 3, 2: 4, 4: 1, 16: 1}"
29,4,-4,"{2: 3, 8: 2, 4: 2, 16: 1, -4: 1}"
21,4,-4,"{16: 1, -4: 1, 2: 1, 4: 3, 8: 1, -2: 2}"
28,4,-2,"{4: 3, -2: 2, 16: 2, 2: 1, 8: 1}"
36,4,-8,"{2: 2, 4: 3, -8: 1, 16: 1, 8: 1, -2: 1}"
63,5,-2,"{4: 2, 16: 1, -2: 1, 32: 1, 2: 3, 8: 1}"
71,5,-2,"{16: 2, 4: 2, -2: 2, 32: 1, 8: 1, 2: 1}"
72,5,-2,"{-2: 3, 4: 2, 2: 2, 8: 1, 32: 1}"
51,4,-2,"{2: 1, 4: 3, 8: 2, 16: 1, -2: 2}"
108,6,-4,"{16: 2, 64: 1, 2: 3, -4: 1, 4: 1, 8: 1}"
45,5,-2,"{-2: 1, 4: 2, 2: 3, 8: 1, 32: 1, 16: 1}"
39,5,2,"{4: 3, 32: 1, 2: 3, 16: 1, 8: 1}"
77,5,-2,"{-2: 3, 4: 3, 32: 1, 16: 1, 2: 1}"
45,4,-2,"{2: 2, 4: 2, -2: 2, 16: 2, 8: 1}"
78,5,-4,"{2: 2, 16: 2, 4: 1, -4: 1, 32: 1, -2: 1, 8: 1}"
39,4,-4,"{2: 3, 16: 2, -2: 2, 4: 1, -4: 1}"
47,5,-2,"{-2: 2, 8: 3, 2: 2, 32: 1, 4: 1}"
77,5,-2,"{8: 2, 32: 1, 4: 3, 16: 1, 2: 1, -2: 1}"
88,5,2,"{2: 4, 8: 2, 4: 1, 16: 1, 32: 1}"
66,5,-2,"{8: 1, 32: 1, 2: 2, 4: 3, 16: 1, -2: 1}"
65,5,-4,"{-2: 2, -4: 1, 8: 1, 4: 3, 32: 1, 2: 1}"
48,5,2,"{2: 3, 8: 2, 4: 3, 32: 1}"
88,6,-4,"{2: 3, 16: 1, 8: 2, 64: 1, -2: 1, -4: 1}"
26,3,-4,"{2: 5, 4: 1, 8: 2, -4: 1}"
27,4,-2,"{4: 2, -2: 2, 8: 3, 16: 1, 2: 1}"
43,5,2,"{2: 5, 4: 1, 8: 2, 32: 1}"
124,5,-2,"{-2: 1, 4: 2, 2: 3, 16: 1, 32: 1, 8: 1}"
75,5,-2,"{2: 3, 4: 3, 32: 1, -2: 1, 8: 1}"
88,6,-2,"{-2: 2, 4: 3, 8: 2, 2: 1, 64: 1}"
60,5,-2,"{-2: 2, 16: 2, 2: 2, 4: 2, 32: 1}"
